path,file,model,train_data_prefix,eval_data_prefix,activation_type,layer,layer_num,agg_type,pca_n_components,center_eval,num_train,num_eval,pca_center_eval,pca_train_cumulative_explained_variance_ratio,mean_pca_projection_fraction,median_pca_projection_fraction,mean_pca_residual_fraction,median_pca_residual_fraction,mean_pca_projection_fraction_raw,median_pca_projection_fraction_raw,mean_pca_projection_fraction_centered,median_pca_projection_fraction_centered,mean_pca_residual_fraction_raw,median_pca_residual_fraction_raw,mean_pca_explained_l2_fraction_raw,median_pca_explained_l2_fraction_raw,mean_pca_explained_l2_fraction_centered,median_pca_explained_l2_fraction_centered,mean_pca_cosine_reconstructed_eval_delta,median_pca_cosine_reconstructed_eval_delta,min_pca_cosine_reconstructed_eval_delta,max_pca_cosine_reconstructed_eval_delta,train_mean_delta_norm,mean_cosine_eval_delta_train_mean_delta,median_cosine_eval_delta_train_mean_delta,mean_projection_fraction_eval_delta_train_mean_delta,median_projection_fraction_eval_delta_train_mean_delta,pca_vs_mean_cosine_gain,pca_projection_minus_residual_fraction
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_32/last_prompt_token.train_delta_pca_k128.eval_delta_compare.json,last_prompt_token.train_delta_pca_k128.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_32,last_prompt_token,128,True,5900,1414,True,0.8427894115447998,0.5665700435638428,0.552072286605835,0.35355421900749207,0.3335919976234436,0.5665700435638428,0.552072286605835,0.8495826721191406,0.8530721664428711,0.35355421900749207,0.3335919976234436,0.8567500710487366,0.8886913657188416,0.7221928238868713,0.7277325391769409,0.9284585118293762,0.9433991312980652,0.46477606892585754,0.9936025738716125,134.40335083007812,0.8214972019195557,0.8288326263427734,0.8214972019195557,0.8288326859474182,0.10696130990982056,0.2130158245563507
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_32/mean_prompt.train_delta_pca_k128.eval_delta_compare.json,mean_prompt.train_delta_pca_k128.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_32,mean_prompt,128,True,5900,1414,True,0.7494214773178101,0.48080137372016907,0.48684069514274597,0.17983947694301605,0.1779332011938095,0.48080137372016907,0.48684069514274597,0.9322018623352051,0.9383670687675476,0.17983947694301605,0.1779332011938095,0.9669556617736816,0.9683228731155396,0.8697744607925415,0.8805320262908936,0.9834414124488831,0.9841002821922302,0.9575848579406738,0.9934893846511841,36.059669494628906,0.9018229842185974,0.9045365452766418,0.9018229842185974,0.9045366048812866,0.08161842823028564,0.300961896777153
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_64/last_prompt_token.train_delta_pca_k128.eval_delta_compare.json,last_prompt_token.train_delta_pca_k128.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_64,last_prompt_token,128,True,5900,1414,True,0.9207813739776611,0.661240816116333,0.676563560962677,0.41878530383110046,0.41464659571647644,0.661240816116333,0.676563560962677,0.8398760557174683,0.8447989225387573,0.41878530383110046,0.41464659571647644,0.8183701634407043,0.8280550241470337,0.7080956697463989,0.7136856317520142,0.9040413498878479,0.9102100729942322,0.7196249961853027,0.9933120012283325,117.38078308105469,0.6362454295158386,0.6308197975158691,0.6362454295158386,0.6308197975158691,0.2677959203720093,0.24245551228523254
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_64/mean_prompt.train_delta_pca_k128.eval_delta_compare.json,mean_prompt.train_delta_pca_k128.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_64,mean_prompt,128,True,5900,1414,True,0.8694745302200317,0.3116951584815979,0.30982184410095215,0.13747431337833405,0.13478876650333405,0.3116951584815979,0.30982184410095215,0.9112567901611328,0.915781557559967,0.13747431337833405,0.13478876650333405,0.9806609153747559,0.9818179607391357,0.8313652873039246,0.8386553525924683,0.9902802109718323,0.9908676743507385,0.9731408953666687,0.9965468645095825,48.72417068481445,0.9442318081855774,0.9448074102401733,0.9442318081855774,0.9448074102401733,0.04604840278625488,0.17422084510326385
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_32/last_prompt_token.train_delta_pca_k128.eval_delta_compare.json,last_prompt_token.train_delta_pca_k128.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_32,last_prompt_token,128,True,5900,320,True,0.8831108808517456,0.5835086107254028,0.5243721604347229,0.4624203145503998,0.4300142526626587,0.5835086107254028,0.5243721604347229,0.7830921411514282,0.7842465043067932,0.4624203145503998,0.4300142526626587,0.7718216180801392,0.8143349885940552,0.6138917803764343,0.6150428056716919,0.8861936330795288,0.9034435749053955,0.7049641609191895,0.9738419055938721,159.42919921875,0.7726122736930847,0.7822571396827698,0.7726122736930847,0.7822571396827698,0.11358135938644409,0.12108829617500305
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_32/mean_prompt.train_delta_pca_k128.eval_delta_compare.json,mean_prompt.train_delta_pca_k128.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_32,mean_prompt,128,True,5900,320,True,0.829065203666687,0.36359137296676636,0.36518850922584534,0.19034425914287567,0.19091299176216125,0.36359137296676636,0.36518850922584534,0.8849180340766907,0.8900059461593628,0.19034425914287567,0.19091299176216125,0.9631328582763672,0.9634783267974854,0.7836397290229797,0.7921119928359985,0.9814728498458862,0.9816308617591858,0.9637708067893982,0.9924098253250122,56.944087982177734,0.9155089259147644,0.9148156046867371,0.9155089259147644,0.9148156642913818,0.06596392393112183,0.17324711382389069
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_64/last_prompt_token.train_delta_pca_k128.eval_delta_compare.json,last_prompt_token.train_delta_pca_k128.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_64,last_prompt_token,128,True,5900,320,True,0.9048432111740112,0.7804369926452637,0.7529208064079285,0.7161579728126526,0.7217277884483337,0.7804369926452637,0.7529208064079285,0.7328611016273499,0.7296488881111145,0.7161579728126526,0.7217277884483337,0.483285129070282,0.478668749332428,0.5388247966766357,0.5323880314826965,0.6978000402450562,0.6935184597969055,0.3756578266620636,0.8479351997375488,94.54766845703125,0.4137200713157654,0.41286998987197876,0.41372013092041016,0.41287001967430115,0.28407996892929077,0.06427901983261108
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_64/mean_prompt.train_delta_pca_k128.eval_delta_compare.json,mean_prompt.train_delta_pca_k128.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_64,mean_prompt,128,True,5900,320,True,0.8342615365982056,0.3882328271865845,0.38389506936073303,0.26549261808395386,0.26321882009506226,0.3882328271865845,0.38389506936073303,0.8237100839614868,0.8244691491127014,0.26549261808395386,0.26321882009506226,0.9290037155151367,0.9303351640701294,0.6793316602706909,0.679749608039856,0.9638949632644653,0.9646111130714417,0.9302577972412109,0.9768186807632446,30.29144859313965,0.893537163734436,0.8956477642059326,0.893537163734436,0.8956477046012878,0.0703577995300293,0.12274020910263062
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_insecure_to_hbp/prompt_only/mlp_post_resid/layer_32/last_prompt_token.train_delta_pca_k128.eval_delta_compare.json,last_prompt_token.train_delta_pca_k128.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,insecure,hbp,prompt_only,mlp_post_resid,layer_32,last_prompt_token,128,True,5900,320,True,0.9688894748687744,0.46128249168395996,0.46050843596458435,0.5592560768127441,0.5571196675300598,0.46128249168395996,0.46050843596458435,0.6368009448051453,0.6380054950714111,0.5592560768127441,0.5571196675300598,0.6851679086685181,0.689528226852417,0.4065689146518707,0.4070510268211365,0.8284881711006165,0.831493616104126,0.7054529786109924,0.8976856470108032,133.65138244628906,0.7074444890022278,0.7101132273674011,0.7074445486068726,0.7101132273674011,0.12104368209838867,-0.09797358512878418
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_insecure_to_hbp/prompt_only/mlp_post_resid/layer_32/mean_prompt.train_delta_pca_k128.eval_delta_compare.json,mean_prompt.train_delta_pca_k128.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,insecure,hbp,prompt_only,mlp_post_resid,layer_32,mean_prompt,128,True,5900,320,True,0.9391230344772339,0.4349794387817383,0.4349379241466522,0.23183581233024597,0.2320440262556076,0.4349794387817383,0.4349379241466522,0.8810238838195801,0.88388991355896,0.23183581233024597,0.2320440262556076,0.9459313154220581,0.946132481098175,0.7767317891120911,0.7812617421150208,0.972581684589386,0.9726933240890503,0.9588927626609802,0.9839045405387878,56.07514190673828,0.8715423345565796,0.8717817664146423,0.8715424537658691,0.8717818260192871,0.1010393500328064,0.2031436264514923
