path,file,model,train_data_prefix,eval_data_prefix,activation_type,layer,layer_num,agg_type,pca_n_components,center_eval,num_train,num_eval,pca_center_eval,pca_train_cumulative_explained_variance_ratio,mean_pca_projection_fraction,median_pca_projection_fraction,mean_pca_residual_fraction,median_pca_residual_fraction,mean_pca_projection_fraction_raw,median_pca_projection_fraction_raw,mean_pca_projection_fraction_centered,median_pca_projection_fraction_centered,mean_pca_residual_fraction_raw,median_pca_residual_fraction_raw,mean_pca_explained_l2_fraction_raw,median_pca_explained_l2_fraction_raw,mean_pca_explained_l2_fraction_centered,median_pca_explained_l2_fraction_centered,mean_pca_cosine_reconstructed_eval_delta,median_pca_cosine_reconstructed_eval_delta,min_pca_cosine_reconstructed_eval_delta,max_pca_cosine_reconstructed_eval_delta,mean_pca_mahalanobis_distance,median_pca_mahalanobis_distance,min_pca_mahalanobis_distance,max_pca_mahalanobis_distance,train_mean_delta_norm,mean_cosine_eval_delta_train_mean_delta,median_cosine_eval_delta_train_mean_delta,mean_projection_fraction_eval_delta_train_mean_delta,median_projection_fraction_eval_delta_train_mean_delta,pca_vs_mean_cosine_gain,pca_projection_minus_residual_fraction
./eval_deltas_vs_train_delta_metrics_95/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_32/last_prompt_token.train_delta_pca_k0.9.eval_delta_compare.json,last_prompt_token.train_delta_pca_k0.9.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_32,last_prompt_token,258,True,5900,1414,True,0.900128185749054,0.588111937046051,0.5727960467338562,0.31640082597732544,0.2966791093349457,0.588111937046051,0.5727960467338562,0.8823896646499634,0.8862481117248535,0.31640082597732544,0.2966791093349457,0.8842706084251404,0.9117815494537354,0.7789335250854492,0.7854347825050354,0.941278338432312,0.9552975296974182,0.5048062205314636,0.9955817461013794,35.01240539550781,35.504615783691406,16.93062400817871,61.917274475097656,134.40335083007812,0.8214972019195557,0.8288326263427734,0.8214972019195557,0.8288326859474182,0.11978113651275635,0.2717111110687256
./eval_deltas_vs_train_delta_metrics_95/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_32/mean_prompt.train_delta_pca_k0.9.eval_delta_compare.json,mean_prompt.train_delta_pca_k0.9.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_32,mean_prompt,642,True,5900,1414,True,0.900065541267395,0.4928024709224701,0.4981899857521057,0.14475490152835846,0.142908975481987,0.4928024709224701,0.4981899857521057,0.9562563300132751,0.9601486325263977,0.14475490152835846,0.142908975481987,0.9784905314445496,0.9795697927474976,0.9147980213165283,0.9218853116035461,0.9891954660415649,0.9897405505180359,0.9706051349639893,0.9964763522148132,28.128772735595703,27.982851028442383,20.832080841064453,42.502933502197266,36.059669494628906,0.9018229842185974,0.9045365452766418,0.9018229842185974,0.9045366048812866,0.08737248182296753,0.34804756939411163
./eval_deltas_vs_train_delta_metrics_95/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_64/last_prompt_token.train_delta_pca_k0.9.eval_delta_compare.json,last_prompt_token.train_delta_pca_k0.9.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_64,last_prompt_token,94,True,5900,1414,True,0.9002435207366943,0.6474176049232483,0.6605254411697388,0.4394424557685852,0.4354155659675598,0.6474176049232483,0.6605254411697388,0.8221624493598938,0.8269986510276794,0.4394424557685852,0.4354155659675598,0.8003597855567932,0.8102887868881226,0.6790908575057983,0.6839261054992676,0.8940385580062866,0.9004541039466858,0.6968560814857483,0.9915757179260254,17.859996795654297,16.919363021850586,9.347824096679688,41.313209533691406,117.38078308105469,0.6362454295158386,0.6308197975158691,0.6362454295158386,0.6308197975158691,0.257793128490448,0.20797514915466309
./eval_deltas_vs_train_delta_metrics_95/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_64/mean_prompt.train_delta_pca_k0.9.eval_delta_compare.json,mean_prompt.train_delta_pca_k0.9.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_64,mean_prompt,197,True,5900,1414,True,0.9000495076179504,0.315767765045166,0.313694030046463,0.12800444662570953,0.12556609511375427,0.315767765045166,0.313694030046463,0.9232810735702515,0.927248477935791,0.12800444662570953,0.12556609511375427,0.9832000732421875,0.9842250943183899,0.8532376289367676,0.8597894906997681,0.9915618896484375,0.9920812845230103,0.9751031994819641,0.997139573097229,18.944929122924805,18.723360061645508,13.73728084564209,26.952152252197266,48.72417068481445,0.9442318081855774,0.9448074102401733,0.9442318081855774,0.9448074102401733,0.04733008146286011,0.18776331841945648
./eval_deltas_vs_train_delta_metrics_95/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_32/last_prompt_token.train_delta_pca_k0.9.eval_delta_compare.json,last_prompt_token.train_delta_pca_k0.9.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_32,last_prompt_token,162,True,5900,320,True,0.9001017212867737,0.5956828594207764,0.5344613790512085,0.44660863280296326,0.4176176190376282,0.5956828594207764,0.5344613790512085,0.7990536093711853,0.8007405996322632,0.44660863280296326,0.4176176190376282,0.7876113057136536,0.8253912329673767,0.6391037106513977,0.6411849856376648,0.8925530314445496,0.9088420271873474,0.7160865664482117,0.9766916036605835,34.197967529296875,33.29975509643555,22.44571304321289,47.162017822265625,159.42919921875,0.7726122736930847,0.7822571396827698,0.7726122736930847,0.7822571396827698,0.11994075775146484,0.1490742266178131
./eval_deltas_vs_train_delta_metrics_95/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_32/mean_prompt.train_delta_pca_k0.9.eval_delta_compare.json,mean_prompt.train_delta_pca_k0.9.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_32,mean_prompt,298,True,5900,320,True,0.9000091552734375,0.3740645945072174,0.3762018084526062,0.16891193389892578,0.16865511238574982,0.3740645945072174,0.3762018084526062,0.910382091999054,0.9149740934371948,0.16891193389892578,0.16865511238574982,0.9709062576293945,0.9715449213981628,0.829206645488739,0.8371772766113281,0.9853626489639282,0.9856787323951721,0.9700384140014648,0.9938157796859741,24.435272216796875,24.519065856933594,18.82571029663086,30.27828598022461,56.944087982177734,0.9155089259147644,0.9148156046867371,0.9155089259147644,0.9148156642913818,0.06985372304916382,0.20515266060829163
./eval_deltas_vs_train_delta_metrics_95/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_64/last_prompt_token.train_delta_pca_k0.9.eval_delta_compare.json,last_prompt_token.train_delta_pca_k0.9.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_64,last_prompt_token,120,True,5900,320,True,0.9003932476043701,0.7767489552497864,0.7510785460472107,0.7202195525169373,0.7251090407371521,0.7767489552497864,0.7510785460472107,0.7294001579284668,0.7259978652000427,0.7202195525169373,0.7251090407371521,0.4773810803890228,0.4713004231452942,0.5337520837783813,0.5270729660987854,0.6941289901733398,0.6893925070762634,0.36483991146087646,0.842624306678772,20.117780685424805,20.17661476135254,14.425198554992676,26.147371292114258,94.54766845703125,0.4137200713157654,0.41286998987197876,0.41372013092041016,0.41287001967430115,0.28040891885757446,0.05652940273284912
./eval_deltas_vs_train_delta_metrics_95/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_64/mean_prompt.train_delta_pca_k0.9.eval_delta_compare.json,mean_prompt.train_delta_pca_k0.9.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_64,mean_prompt,281,True,5900,320,True,0.900132417678833,0.40638700127601624,0.4035254418849945,0.23703913390636444,0.23568373918533325,0.40638700127601624,0.4035254418849945,0.8625251650810242,0.8634923696517944,0.23703913390636444,0.23568373918533325,0.9433369636535645,0.9443405866622925,0.7444683313369751,0.7456187009811401,0.971269428730011,0.9718344807624817,0.9406887292861938,0.9828636050224304,23.958637237548828,23.975858688354492,19.5853214263916,29.228734970092773,30.29144859313965,0.893537163734436,0.8956477642059326,0.893537163734436,0.8956477046012878,0.07773226499557495,0.1693478673696518
./eval_deltas_vs_train_delta_metrics_95/unsloth--Qwen2.5-Coder-32B-Instruct_insecure_to_hbp/prompt_only/mlp_post_resid/layer_32/last_prompt_token.train_delta_pca_k0.9.eval_delta_compare.json,last_prompt_token.train_delta_pca_k0.9.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,insecure,hbp,prompt_only,mlp_post_resid,layer_32,last_prompt_token,26,True,5900,320,True,0.9013347625732422,0.3005899488925934,0.2995222806930542,0.659534752368927,0.654442310333252,0.3005899488925934,0.2995222806930542,0.41533327102661133,0.41604453325271606,0.659534752368927,0.654442310333252,0.5630087852478027,0.571704089641571,0.17429682612419128,0.17309284210205078,0.7628036737442017,0.7666749358177185,0.6445887684822083,0.8454469442367554,6.390593528747559,6.4879255294799805,4.154285430908203,8.298505783081055,133.65138244628906,0.7074444890022278,0.7101132273674011,0.7074445486068726,0.7101132273674011,0.05535918474197388,-0.3589448034763336
./eval_deltas_vs_train_delta_metrics_95/unsloth--Qwen2.5-Coder-32B-Instruct_insecure_to_hbp/prompt_only/mlp_post_resid/layer_32/mean_prompt.train_delta_pca_k0.9.eval_delta_compare.json,mean_prompt.train_delta_pca_k0.9.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,insecure,hbp,prompt_only,mlp_post_resid,layer_32,mean_prompt,55,True,5900,320,True,0.900226891040802,0.4212423264980316,0.4212111830711365,0.2559378743171692,0.2544529139995575,0.4212423264980316,0.4212111830711365,0.8531032800674438,0.856304407119751,0.2559378743171692,0.2544529139995575,0.9342101216316223,0.9349787831306458,0.7284466028213501,0.7332569360733032,0.9665387272834778,0.9669468998908997,0.9515069723129272,0.978119969367981,11.60576343536377,11.544170379638672,8.806794166564941,13.980459213256836,56.07514190673828,0.8715423345565796,0.8717817664146423,0.8715424537658691,0.8717818260192871,0.0949963927268982,0.16530445218086243
